ticker,fiscal_year,fiscal_quarter,end_date,stock_price
2594,2005,2,2005-09-30,1512
2594,2005,3,2005-12-30,1570
2594,2005,4,2006-03-31,1629
2594,2006,1,2006-06-30,1613
2594,2006,2,2006-09-29,1674.7858071644519
2594,2006,3,2006-12-29,1702
2594,2006,4,2007-03-30,1709.5247787882413
2594,2007,1,2007-06-29,1780
2594,2007,2,2007-09-28,1653.3564774431618
2594,2007,3,2007-12-28,1497
2594,2007,4,2008-03-31,1507
2594,2008,1,2008-06-30,1541
2594,2008,2,2008-09-30,1579
2594,2008,3,2008-12-30,1580
2594,2008,4,2009-03-31,1546
2594,2009,1,2009-06-30,1582
2594,2009,2,2009-09-30,1592
2594,2009,3,2009-12-30,1589.58403914636
2594,2009,4,2010-03-31,1589
2594,2010,1,2010-06-30,1552
2594,2010,2,2010-09-30,1518
2594,2010,3,2010-12-30,1453.019102090648
2594,2010,4,2011-03-31,1459
2594,2011,1,2011-06-30,1500
2594,2011,2,2011-09-30,1560
2594,2011,3,2011-12-30,1391.016527691619
2594,2011,4,2012-03-30,1491.005590963884
2594,2012,1,2012-06-29,1473.0190329165118
2594,2012,2,2012-09-28,1528.0063511087515
2594,2012,3,2012-12-28,1548.0123790142645
2594,2012,4,2013-03-29,1490.1635791192252
2594,2013,1,2013-06-28,1546
2594,2013,2,2013-09-30,1563
2594,2013,3,2013-12-30,1583
2594,2013,4,2014-03-31,1587
2594,2014,1,2014-06-30,1612
2594,2014,2,2014-09-30,1646
2594,2014,3,2014-12-30,1672
2594,2014,4,2015-03-31,1809
2594,2015,1,2015-06-30,2050
2594,2015,2,2015-09-30,2023
2594,2015,3,2015-12-30,1969.0669718553618
